word;translation;example_sentence;transition_sentence
reside; wohnen; They reside in the city; Sie wohnen in der Stadt
residence; Wohnsitz; They have their residence here; Sie haben ihren Wohnsitz hier
residential; Wohn-; It is a residential area; Es ist eine Wohngegend
residue; Rückstand; They found a residue; Sie fanden einen Rückstand
resign; zurücktreten; They had to resign from their positions; Sie mussten zurücktreten von ihren Positionen
resignation; Rücktritt; They handed in their resignation; Sie gaben ein ihren Rücktritt
resistance; Widerstand; They faced resistance; Sie erlebten Widerstand
resolution; Lösung; They found a resolution; Sie fanden eine Lösung
respective; jeweilig; They went to their respective homes; Sie gingen zu ihren jeweiligen Häusern
respectively; beziehungsweise; John and Mary, respectively; John und Mary, beziehungsweise
restoration; Restaurierung; They worked on the restoration of the building; Sie arbeiteten an der Restaurierung von dem Gebäude
restore; wiederherstellen; They tried to restore the order; Sie versuchten wiederherzustellen die Ordnung
restraint; Zurückhaltung; They showed restraint; Sie zeigten Zurückhaltung
restrict; beschränken; They tried to restrict the access; Sie versuchten zu beschränken den Zugang
restriction; Beschränkung; There was a restriction on the use; Es war eine Beschränkung auf die Verwendung
resume; fortsetzen; They will resume the meeting; Sie werden fortsetzen das Treffen
retail; Einzelhandel; They work in the retail sector; Sie arbeiten in dem Einzelhandel Sektor
retirement; Ruhestand; He reached retirement age; Er erreichte Ruhestand Alter
retreat; Rückzug; They were forced to retreat; Sie waren gezwungen zu Rückzug
retrieve; abrufen; They need to retrieve the data; Sie müssen abrufen die Daten
revelation; Offenbarung; It was a revelation; Es war eine Offenbarung
revenge; Rache; They wanted revenge; Sie wollten Rache
revenue; Einnahmen; The company had high revenue; Die Firma hatte hohe Einnahmen
reverse; umkehren; They tried to reverse the situation; Sie versuchten umzukehren die Situation
revision; Überarbeitung; They did a revision of the document; Sie machten eine Überarbeitung von dem Dokument
revival; Wiederbelebung; It was a cultural revival; Es war eine kulturelle Wiederbelebung
revive; wiederbeleben; They tried to revive him; Sie versuchten wiederzubeleben ihn
revolutionary; revolutionär; It was a revolutionary idea; Es war eine revolutionäre Idee
rhetoric; Rhetorik; They used persuasive rhetoric; Sie benutzten überzeugende Rhetorik
ridiculous; lächerlich; It was a ridiculous idea; Es war eine lächerliche Idee
rifle; Gewehr; He carried a rifle; Er trug ein Gewehr
riot; Aufstand; They faced a riot; Sie erlebten einen Aufstand
rip; reißen; They tried to rip the paper; Sie versuchten zu reißen das Papier
risky; riskant; It was a risky business; Es war ein riskantes Geschäft
ritual; Ritual; They had a traditional ritual; Sie hatten ein traditionelles Ritual
rival; Rivale/Rivalin; They are rivals; Sie sind Rivalen
rob; ausrauben; They tried to rob the bank; Sie versuchten auszurauben die Bank
robbery; Raub; They committed a robbery; Sie begingen einen Raub
robust; robust; It was a robust system; Es war ein robustes System
rock; Fels; They climbed the rock; Sie kletterten den Fels
rocket; Rakete; They launched a rocket; Sie starteten eine Rakete
rod; Stange; They used a metal rod; Sie benutzten eine Metall Stange
romance; Romanze; It was a romantic story; Es war eine romantische Geschichte
rose; Rose; They gave her a red rose; Sie gaben ihr eine rote Rose
rotate; rotieren; The wheels rotated; Die Räder rotierten
rotation; Rotation; They studied the rotation of the Earth; Sie studierten die Rotation von der Erde
roughly; ungefähr; They estimated roughly; Sie schätzten ungefähr
ruin; Ruin; It was in ruin; Es war in Ruin
ruling; Entscheidung; They made a ruling; Sie machten eine Entscheidung
rumour; Gerücht; They heard a rumour; Sie hörten ein Gerücht
sack; entlassen; They sacked the worker; Sie entließen den Arbeiter
sacred; heilig; It was a sacred place; Es war ein heiliger Ort
sacrifice; Opfer; They made a sacrifice; Sie machten ein Opfer
saint; Heilige/r; He is a saint; Er ist ein Heiliger
sake; wegen; They did it for his sake; Sie taten es wegen ihm
sanction; Sanktion; They imposed a sanction; Sie verhängten eine Sanktion
satisfaction; Zufriedenheit; They showed satisfaction; Sie zeigten Zufriedenheit
say; sagen; They wanted to say goodbye; Sie wollten sagen auf Wiedersehen
scandal; Skandal; It was a public scandal; Es war ein öffentlicher Skandal
scare; erschrecken; They tried to scare him; Sie versuchten zu erschrecken ihn
scattered; verstreut; The leaves were scattered; Die Blätter waren verstreut
scenario; Szenario; They discussed the possible scenario; Sie diskutierten das mögliche Szenario
sceptical; skeptisch; He was very skeptical; Er war sehr skeptisch
scholar; Gelehrte/r; He was a great scholar; Er war ein großer Gelehrter
scholarship; Stipendium; They received a scholarship; Sie erhielten ein Stipendium
scope; Umfang; They discussed the scope of the project; Sie diskutierten den Umfang von dem Projekt
scratch; kratzen; They tried to scratch the surface; Sie versuchten zu kratzen die Oberfläche
screening; Überprüfung; They did a screening; Sie machten eine Überprüfung
screw; Schraube; They tightened the screw; Sie zogen die Schraube fest
scrutiny; Prüfung; They faced scrutiny; Sie erlebten Prüfung
seal; Siegel; They put a seal on the document; Sie setzten ein Siegel auf das Dokument
secular; weltlich; It was a secular state; Es war ein weltlicher Staat
seeker; Suchende/r; He is a truth seeker; Er ist ein Wahrheit Suchender
seemingly; scheinbar; He was seemingly calm; Er war scheinbar ruhig
segment; Segment; They studied a segment of the population; Sie studierten ein Segment von der Bevölkerung
seize; beschlagnahmen; They tried to seize the property; Sie versuchten zu beschlagnahmen das Eigentum
seldom; selten; They seldom visit; Sie besuchen selten
selective; selektiv; They were very selective; Sie waren sehr selektiv
seminar; Seminar; They attended a seminar; Sie nahmen an einem Seminar teil
senator; Senator/in; He is a senator; Er ist ein Senator
sensation; Gefühl; He had a strange sensation; Er hatte ein seltsames Gefühl
sensitivity; Sensibilität; They need sensitivity; Sie brauchen Sensibilität
sentiment; Gefühl; They shared the same sentiment; Sie teilten das gleiche Gefühl
separation; Trennung; They went through a separation; Sie gingen durch eine Trennung
serial; seriell; They made serial numbers; Sie machten Seriennummern
set-up; Aufbau; They had a new set-up; Sie hatten einen neuen Aufbau
settlement; Siedlung; They lived in a settlement; Sie lebten in einer Siedlung
settler; Siedler/in; They were the first settlers; Sie waren die ersten Siedler
severely; schwer; They were severely punished; Sie waren schwer bestraft
sexuality; Sexualität; They discussed human sexuality; Sie diskutierten menschliche Sexualität
sexy; sexy; The dress was very sexy; Das Kleid war sehr sexy
shaped; geformt; The cake was heart shaped; Der Kuchen war Herz geformt
shareholder; Aktionär/in; He is a shareholder; Er ist ein Aktionär
shatter; zersplittern; The glass shattered; Das Glas zersplitterte
shed; Schuppen; They stored their tools in the shed; Sie lagerten ihre Werkzeuge in dem Schuppen
sheer; schier; It was sheer luck; Es war schier Glück
shipping; Versand; They work in shipping; Sie arbeiten in Versand
shocking; schockierend; The news was shocking; Die Nachrichten waren schockierend
shoot; schießen; They saw him shoot the bird; Sie sahen ihn schießen den Vogel
shore; Ufer; They walked along the shore; Sie gingen entlang des Ufers
short-term; kurzfristig; They had short-term goals; Sie hatten kurzfristige Ziele
shortage; Mangel; There was a shortage of food; Es war ein Mangel von Essen
shortly; bald; They will arrive shortly; Sie werden ankommen bald
shrink; schrumpfen; The sweater will shrink; Der Pullover wird schrumpfen
shrug; zucken; They just shrugged their shoulders; Sie nur zuckten ihre Schultern
sibling; Geschwister; They had a sibling rivalry; Sie hatten eine Geschwister Rivalität
sigh; seufzen; They let out a sigh; Sie ließen aus einen Seufzer
signature; Unterschrift; They needed his signature; Sie brauchten seine Unterschrift
significance; Bedeutung; They studied the significance; Sie studierten die Bedeutung
simulate; simulieren; They tried to simulate the process; Sie versuchten zu simulieren den Prozess
simulation; Simulation; They created a simulation; Sie kreierten eine Simulation
simultaneously; gleichzeitig; They arrived simultaneously; Sie kamen gleichzeitig an
sin; Sünde; He committed a sin; Er beging eine Sünde
situated; gelegen; It was situated on a hill; Es war gelegen auf einem Hügel
sketch; Skizze; They made a sketch; Sie machten eine Skizze
skilled; geschickt; They were very skilled workers; Sie waren sehr geschickte Arbeiter
skip; überspringen; They skipped a step; Sie übersprangen einen Schritt
skull; Schädel; They found a skull; Sie fanden einen Schädel
slam; knallen; They slammed the door; Sie knallten die Tür
slap; Ohrfeige; He gave him a slap; Er gab ihm eine Ohrfeige
slash; aufschlitzen; They slashed the tires; Sie schlitzten auf die Reifen
slavery; Sklaverei; They abolished slavery; Sie schafften ab die Sklaverei
slogan; Slogan; They had a campaign slogan; Sie hatten einen Kampagne Slogan
slot; Schlitz; They inserted the coin into the slot; Sie fügten ein die Münze in den Schlitz
smash; zerschlagen; They smashed the window; Sie zerschlugen das Fenster
snap; schnappen; They took a snap of the photo; Sie machten ein Schnappschuss von dem Foto
so-called; sogenannte; They were so-called friends; Sie waren sogenannte Freunde
soak; einweichen; They soaked the clothes; Sie weichten ein die Kleider
soar; aufsteigen; The bird soared; Der Vogel stieg auf
socialist; sozialistisch; They were socialist; Sie waren sozialistisch
sole; einzig; He was the sole survivor; Er war der einzige Überlebende
solely; ausschließlich; It was solely his fault; Es war ausschließlich seine Schuld
solicitor; Anwalt/Anwältin; She is a solicitor; Sie ist eine Anwältin
solidarity; Solidarität; They showed solidarity; Sie zeigten Solidarität
solo; solo; He sang a solo; Er sang ein Solo
somehow; irgendwie; They did it somehow; Sie taten es irgendwie
sometime; irgendwann; They will arrive sometime soon; Sie werden ankommen irgendwann bald
sophisticated; anspruchsvoll; They had a sophisticated approach; Sie hatten einen anspruchsvollen Ansatz
sound; Klang; They heard a sound; Sie hörten einen Klang
sovereignty; Souveränität; They fought for sovereignty; Sie kämpften für Souveränität
spam; Spam; They received a spam email; Sie erhielten eine Spam Email
span; Zeitspanne; It was a short span; Es war eine kurze Zeitspanne
spare; Ersatz; They had a spare tire; Sie hatten ein Ersatz Reifen
spark; Funke; They saw a spark; Sie sahen einen Funken
specialize; spezialisieren; They specialize in that area; Sie spezialisieren sich in dem Bereich
specialized; spezialisiert; They have specialized equipment; Sie haben spezialisierte Ausrüstung
specification; Spezifikation; They had to meet the specification; Sie mussten treffen die Spezifikation
specify; angeben; They need to specify the details; Sie müssen angeben die Details
specimen; Exemplar; They collected a specimen; Sie sammelten ein Exemplar
spectacle; Schauspiel; They witnessed a spectacle; Sie bezeugten ein Schauspiel
spectacular; spektakulär; It was a spectacular view; Es war eine spektakuläre Aussicht
spectator; Zuschauer/in; There were many spectators; Es waren viele Zuschauer
spectrum; Spektrum; They studied the spectrum of colours; Sie studierten das Spektrum von Farben
speculate; spekulieren; They tried to speculate on the reasons; Sie versuchten zu spekulieren auf die Gründe
speculation; Spekulation; There was a lot of speculation; Es war eine Menge von Spekulation
spell; buchstabieren; They asked him to spell his name; Sie fragten ihn zu buchstabieren seinen Namen
sphere; Sphäre; It was in their sphere; Es war in ihrer Sphäre
spill; verschütten; They spilled the water; Sie verschütteten das Wasser
spin; drehen; The wheel began to spin; Das Rad begann zu drehen
spine; Wirbelsäule; He injured his spine; Er verletzte seine Wirbelsäule
spite; Trotz; They did it out of spite; Sie taten es aus Trotz
spoil; verderben; The food will spoil; Das Essen wird verderben
spokesman; Sprecher; He is a spokesman for the company; Er ist ein Sprecher für die Firma
spokesperson; Sprecher/in; She is the spokesperson; Sie ist die Sprecherin
spokeswoman; Sprecherin; She was the spokeswoman; Sie war die Sprecherin
sponsorship; Sponsoring; They had sponsorship from a big company; Sie hatten Sponsoring von einer großen Firma
sporting; sportlich; It was a sporting event; Es war ein sportliches Ereignis
spotlight; Rampenlicht; They were in the spotlight; Sie waren in dem Rampenlicht
spouse; Ehepartner/in; He is her spouse; Er ist ihr Ehepartner
spy; Spion/in; He was a spy; Er war ein Spion
squad; Trupp; They called in the police squad; Sie riefen in den Polizei Trupp
squeeze; drücken; They tried to squeeze through the gap; Sie versuchten zu drücken durch die Lücke
stab; Stich; They gave him a stab wound; Sie gaben ihm eine Stich Wunde
stability; Stabilität; They were working to maintain stability; Sie arbeiteten um zu behalten Stabilität
stabilize; stabilisieren; They tried to stabilize the system; Sie versuchten zu stabilisieren das System
stake; Einsatz; They had a stake in the company; Sie hatten einen Einsatz in der Firma
stall; Stand; They set up a stall at the market; Sie stellten auf einen Stand bei dem Markt
stance; Haltung; They had a clear stance on the issue; Sie hatten eine klare Haltung zu dem Thema
standing; stehend; They gave him a standing ovation; Sie gaben ihm eine stehende Ovation
stark; krass; It was a stark contrast; Es war ein krasser Kontrast
starve; verhungern; They were starving; Sie verhungerten
statistical; statistisch; They used statistical analysis; Sie benutzten statistische Analyse
steadily; stetig; They progressed steadily; Sie entwickelten sich stetig
steam; Dampf; The kettle let off steam; Der Wasserkocher ließ ab Dampf
steer; steuern; They tried to steer the boat; Sie versuchten zu steuern das Boot
stem; Stamm; The tree has a thick stem; Der Baum hat einen dicken Stamm
stereotype; Stereotyp; It was a negative stereotype; Es war ein negatives Stereotyp
stimulate; stimulieren; They tried to stimulate the economy; Sie versuchten zu stimulieren die Wirtschaft
stimulus; Reiz; It was a positive stimulus; Es war ein positiver Reiz
stir; rühren; They need to stir the sauce; Sie müssen rühren die Soße
storage; Lagerung; They used it for storage; Sie benutzten es für Lagerung
straightforward; unkompliziert; It was a straightforward process; Es war ein unkomplizierter Prozess
strain; Anstrengung; They felt the strain of the work; Sie fühlten die Anstrengung von der Arbeit
strand; Strand; They walked along the strand; Sie gingen entlang dem Strand
strategic; strategisch; They had a strategic plan; Sie hatten einen strategischen Plan
strengthen; stärken; They wanted to strengthen their team; Sie wollten stärken ihr Team
strictly; streng; They followed the rules strictly; Sie folgten den Regeln streng
striking; auffallend; It was a striking difference; Es war ein auffallender Unterschied
strip; Streifen; They added a strip of colour; Sie fügten hinzu einen Streifen von Farbe
strive; streben; They strive to succeed; Sie streben zu gelingen
stroke; Schlaganfall; He had a stroke; Er hatte einen Schlaganfall
structural; strukturell; They needed structural repairs; Sie brauchten strukturelle Reparaturen
stumble; stolpern; They stumbled on the way; Sie stolperten auf dem Weg
stun; betäuben; They tried to stun them; Sie versuchten zu betäuben sie
stunning; atemberaubend; The view was stunning; Die Aussicht war atemberaubend
submission; Einreichung; They made a submission; Sie machten eine Einreichung
subscriber; Abonnent/in; He is a subscriber to the magazine; Er ist ein Abonnent zu dem Magazin
subscription; Abonnement; They had a subscription; Sie hatten ein Abonnement
subsequent; nachfolgend; The subsequent events were shocking; Die nachfolgenden Ereignisse waren schockierend
subsequently; anschließend; They subsequently changed their mind; Sie anschließend änderten ihre Meinung
subsidy; Subvention; They received a subsidy; Sie erhielten eine Subvention
substantial; wesentlich; They had a substantial amount of money; Sie hatten eine wesentliche Menge von Geld
substantially; wesentlich; They were substantially different; Sie waren wesentlich anders
substitute; ersetzen; They need to substitute the part; Sie müssen ersetzen das Teil
substitution; Ersetzung; They made a substitution; Sie machten eine Ersetzung
subtle; subtil; It was a subtle change; Es war eine subtile Veränderung
suburb; Vorort; They live in the suburb; Sie leben in dem Vorort
suburban; vorstädtisch; It was a suburban area; Es war ein vorstädtisches Gebiet
succession; Nachfolge; There was a succession of problems; Es war eine Nachfolge von Problemen
successive; aufeinanderfolgend; They won on three successive days; Sie gewannen auf drei aufeinanderfolgenden Tagen
successor; Nachfolger/in; He is the successor of the company; Er ist der Nachfolger von der Firma
suck; saugen; They used a vacuum to suck up the water; Sie benutzten einen Staubsauger um zu saugen auf das Wasser
sue; verklagen; They tried to sue him; Sie versuchten zu verklagen ihn
suffering; Leiden; They tried to reduce their suffering; Sie versuchten zu reduzieren ihr Leiden
sufficient; ausreichend; They had sufficient money; Sie hatten ausreichend Geld
sufficiently; ausreichend; They were sufficiently prepared; Sie waren ausreichend vorbereitet
suicide; Selbstmord; He committed suicide; Er beging Selbstmord
suite; Suite; They stayed in a suite; Sie blieben in einer Suite
summit; Gipfel; They reached the summit of the mountain; Sie erreichten den Gipfel von dem Berg
super; super; It was a super performance; Es war eine super Leistung
superb; hervorragend; They did a superb job; Sie machten eine hervorragende Arbeit
superior; überlegen; They were superior in skill; Sie waren überlegen in Geschick
supervise; beaufsichtigen; They need to supervise the process; Sie müssen beaufsichtigen den Prozess
supervision; Aufsicht; They worked under supervision; Sie arbeiteten unter Aufsicht
supervisor; Vorgesetzte/r; He was their supervisor; Er war ihr Vorgesetzter
supplement; Ergänzung; They added a supplement to the report; Sie fügten hinzu eine Ergänzung zu dem Bericht
supportive; unterstützend; They were very supportive; Sie waren sehr unterstützend
supposedly; angeblich; They were supposedly friends; Sie waren angeblich Freunde
suppress; unterdrücken; They tried to suppress their emotions; Sie versuchten zu unterdrücken ihre Emotionen
supreme; oberste/r; He was the supreme leader; Er war der oberste Führer
surge; Anstieg; There was a surge in sales; Es war ein Anstieg in Verkäufen
surgeon; Chirurg/in; He is a heart surgeon; Er ist ein Herz Chirurg
surgical; chirurgisch; They did surgical repairs; Sie machten chirurgische Reparaturen
surplus; Überschuss; They had a surplus of stock; Sie hatten einen Überschuss von Bestand
surrender; aufgeben; They surrendered the fight; Sie gaben auf den Kampf
surveillance; Überwachung; They were under surveillance; Sie waren unter Überwachung
survival; Überleben; They fought for survival; Sie kämpften für Überleben
survivor; Überlebende/r; She was a survivor; Sie war eine Überlebende
suspend; aussetzen; They had to suspend the project; Sie mussten aussetzen das Projekt
suspension; Aussetzung; They faced suspension; Sie erlebten Aussetzung
suspicion; Verdacht; They had suspicion; Sie hatten Verdacht
suspicious; verdächtig; He was acting suspicious; Er handelte verdächtig
sustain; aufrechterhalten; They tried to sustain their momentum; Sie versuchten aufrechterhalten ihren Schwung
sustainable; nachhaltig; It was a sustainable project; Es war ein nachhaltiges Projekt
swallow; schlucken; They swallowed the pill; Sie schluckten die Pille
swing; schwingen; They saw the rope swing; Sie sahen das Seil schwingen
sword; Schwert; He drew his sword; Er zog sein Schwert
symbolic; symbolisch; It was a symbolic gesture; Es war eine symbolische Geste
sympathetic; mitfühlend; They were sympathetic to their situation; Sie waren mitfühlend zu ihrer Situation
syndrome; Syndrom; They were diagnosed with the syndrome; Sie waren diagnostiziert mit dem Syndrom
synthesis; Synthese; They studied the synthesis of the molecule; Sie studierten die Synthese von dem Molekül
systematic; systematisch; They used a systematic approach; Sie benutzten einen systematischen Ansatz
tackle; angehen; They need to tackle the problem; Sie müssen angehen das Problem
tactic; Taktik; They used a specific tactic; Sie benutzten eine spezifische Taktik
tactical; taktisch; It was a tactical decision; Es war eine taktische Entscheidung
tag; Etikett; They put a tag on it; Sie setzten ein Etikett auf es
tap; Hahn; They turned on the tap; Sie drehten auf den Hahn
taxpayer; Steuerzahler/in; They were taxpayers; Sie waren Steuerzahler
technological; technologisch; It was a technological development; Es war eine technologische Entwicklung
teens; Teenager; They were in their teens; Sie waren in ihren Teenager Jahren
temple; Tempel; They visited the temple; Sie besuchten den Tempel
temporarily; vorübergehend; They were temporarily closed; Sie waren vorübergehend geschlossen
tempt; versuchen; They tried to tempt him; Sie versuchten zu versuchen ihn
tenant; Mieter/in; They are tenants of the building; Sie sind Mieter von dem Gebäude
tendency; Tendenz; They had a tendency to do that; Sie hatten eine Tendenz zu tun das
tender; zart; The meat was very tender; Das Fleisch war sehr zart
tension; Spannung; There was a lot of tension; Es war eine Menge von Spannung
tenure; Amtszeit; They had a long tenure; Sie hatten eine lange Amtszeit
terminal; Terminal; They waited at the terminal; Sie warteten an dem Terminal
terminate; beenden; They decided to terminate the contract; Sie beschlossen zu beenden den Vertrag
terms; Bedingungen; They agreed on the terms; Sie einigten sich auf die Bedingungen
terrain; Gelände; They explored the terrain; Sie erkundeten das Gelände
terribly; schrecklich; It was terribly difficult; Es war schrecklich schwierig
terrific; großartig; It was a terrific experience; Es war eine großartige Erfahrung
terrify; erschrecken; They tried to terrify them; Sie versuchten zu erschrecken sie
territory; Territorium; They fought over the territory; Sie kämpften über das Territorium
terror; Terror; They lived in terror; Sie lebten in Terror
terrorism; Terrorismus; They fought against terrorism; Sie kämpften gegen Terrorismus
terrorist; Terrorist/in; He was a terrorist; Er war ein Terrorist
testify; bezeugen; They had to testify in court; Sie mussten bezeugen vor Gericht
testimony; Zeugenaussage; They gave their testimony; Sie gaben ihre Zeugenaussage
testing; Testen; They did some testing; Sie machten etwas Testen
textbook; Lehrbuch; They used a textbook; Sie benutzten ein Lehrbuch
texture; Textur; The cloth had a rough texture; Das Tuch hatte eine raue Textur
thankfully; glücklicherweise; Thankfully, they arrived safely; Glücklicherweise, sie kamen an sicher
theatrical; theatralisch; It was a theatrical performance; Es war eine theatralische Aufführung
theft; Diebstahl; They committed theft; Sie begingen Diebstahl
theology; Theologie; They studied theology; Sie studierten Theologie
theoretical; theoretisch; It was a theoretical approach; Es war ein theoretischer Ansatz
therapist; Therapeut/in; He visited a therapist; Er besuchte einen Therapeuten
thereafter; danach; They arrived and thereafter left; Sie kamen an und danach verließen
thereby; dadurch; They were thereby protected; Sie waren dadurch geschützt
thesis; These; They wrote a thesis; Sie schrieben eine These
thorough; gründlich; It was a thorough investigation; Es war eine gründliche Untersuchung
thoroughly; gründlich; They cleaned thoroughly; Sie reinigten gründlich
thought-provoking; zum Nachdenken anregend; It was a thought-provoking question; Es war eine zum Nachdenken anregende Frage
thoughtful; nachdenklich; He was a thoughtful person; Er war eine nachdenkliche Person
thread; Faden; They used a thread and needle; Sie benutzten einen Faden und Nadel
threshold; Schwelle; They stood at the threshold; Sie standen an der Schwelle
thrilled; begeistert; They were thrilled to be there; Sie waren begeistert dort zu sein
thrive; gedeihen; They hope to thrive; Sie hoffen zu gedeihen
thumb; Daumen; They gave him a thumbs up; Sie gaben ihm einen Daumen hoch
tide; Gezeit; They swam with the tide; Sie schwammen mit der Gezeit
tighten; anziehen; They tried to tighten the screw; Sie versuchten anzuziehen die Schraube
timber; Holz; They used timber to build the house; Sie benutzten Holz um zu bauen das Haus
timely; rechtzeitig; It was a timely reminder; Es war eine rechtzeitige Erinnerung
timing; Zeitplanung; They had good timing; Sie hatten eine gute Zeitplanung
tissue; Gewebe; They examined the tissue; Sie untersuchten das Gewebe
tobacco; Tabak; They used tobacco; Sie benutzten Tabak
tolerance; Toleranz; They had a high tolerance; Sie hatten eine hohe Toleranz
tolerate; tolerieren; They would not tolerate bad behaviour; Sie würden nicht tolerieren schlechtes Verhalten
toll; Maut; They paid a toll; Sie zahlten eine Maut
ton; Tonne; They moved tons of earth; Sie bewegten Tonnen von Erde
tonne; Tonne; The ship weighed several tonnes; Das Schiff wog mehrere Tonnen
top; Spitze; They climbed to the top; Sie kletterten zu der Spitze
torture; Folter; They suffered torture; Sie litten Folter
toss; werfen; They tossed the coin; Sie warfen die Münze
total; gesamt; They calculated the total cost; Sie berechneten die Gesamtkosten
tournament; Turnier; They won the tournament; Sie gewannen das Turnier
toxic; giftig; It was a toxic substance; Es war eine giftige Substanz
trace; Spur; They found a trace of evidence; Sie fanden eine Spur von Beweisen
trademark; Markenzeichen; They had a trademark; Sie hatten ein Markenzeichen
trading; Handel; They are involved in trading; Sie sind beteiligt in Handel
tragedy; Tragödie; It was a tragedy; Es war eine Tragödie
tragic; tragisch; It was a tragic accident; Es war ein tragischer Unfall
trail; Pfad; They followed the trail; Sie folgten dem Pfad
trailer; Anhänger; They towed a trailer; Sie zogen einen Anhänger
trait; Merkmal; He had a specific trait; Er hatte ein spezifisches Merkmal
transaction; Transaktion; They did a transaction; Sie machten eine Transaktion
transcript; Abschrift; They made a transcript of the talk; Sie machten eine Abschrift von dem Gespräch
transformation; Verwandlung; It was a transformation; Es war eine Verwandlung
transit; Transit; They were in transit; Sie waren in Transit
transmission; Übertragung; They studied the transmission of disease; Sie studierten die Übertragung von Krankheit
transmit; übertragen; They tried to transmit the message; Sie versuchten zu übertragen die Nachricht
transparency; Transparenz; They valued transparency; Sie schätzten Transparenz
transparent; transparent; The glass was transparent; Das Glas war transparent
transportation; Transport; They used public transportation; Sie benutzten öffentlichen Transport
trap; Falle; They fell into a trap; Sie fielen in eine Falle
trauma; Trauma; They suffered from trauma; Sie litten unter Trauma
treasure; Schatz; They found a treasure; Sie fanden einen Schatz
treaty; Vertrag; They signed a treaty; Sie unterschrieben einen Vertrag
tremendous; enorm; It was a tremendous achievement; Es war eine enorme Errungenschaft
tribal; Stammes-; They had a tribal structure; Sie hatten eine Stammes Struktur
tribe; Stamm; They belonged to a tribe; Sie gehörten zu einem Stamm
tribunal; Gerichtshof; They appeared before the tribunal; Sie erschienen vor dem Gerichtshof
tribute; Tribut; They paid a tribute; Sie zahlten einen Tribut
trigger; auslösen; They tried to trigger the alarm; Sie versuchten auszulösen den Alarm
trillion; Billion; They were worth trillions of dollars; Sie waren wert Billionen von Dollar
trio; Trio; They were a musical trio; Sie waren ein musikalisches Trio
triumph; Triumph; It was a triumph; Es war ein Triumph
troop; Truppe; They sent in the troops; Sie schickten in die Truppen
trophy; Trophäe; They won a trophy; Sie gewannen eine Trophäe
troubled; beunruhigt; They seemed troubled; Sie schienen beunruhigt
trustee; Treuhänder/in; They were trustees of the fund; Sie waren Treuhänder von dem Fonds
tsunami; Tsunami; They were affected by the tsunami; Sie waren betroffen von dem Tsunami
tuition; Schulgeld; They paid for the tuition; Sie zahlten für das Schulgeld
turnout; Wahlbeteiligung; The election had a high turnout; Die Wahl hatte eine hohe Wahlbeteiligung
turnover; Umsatz; They had a high turnover; Sie hatten einen hohen Umsatz
twist; verdrehen; They twisted the metal; Sie verdrehten das Metall
ultimate; ultimativ; It was the ultimate goal; Es war das ultimative Ziel
unacceptable; inakzeptabel; It was unacceptable behaviour; Es war inakzeptables Verhalten
uncertainty; Unsicherheit; There was a lot of uncertainty; Es war eine Menge von Unsicherheit
undergo; unterziehen; They need to undergo training; Sie müssen unterziehen Training
undergraduate; Student/in im Grundstudium; She is an undergraduate at Harvard.; Sie ist ein Student im Grundstudium an Harvard.
underlying; zugrunde liegend; The underlying cause of the problem is unknown.; Der zugrunde liegende Grund des Problems ist unbekannt.
undermine; untergraben; His actions undermine her authority.; Seine Aktionen untergraben ihre Autorität.
undertake; unternehmen; He will undertake the project.; Er wird das Projekt unternehmen.
undoubtedly; zweifellos; She is undoubtedly a talented musician.; Sie ist zweifellos eine talentierte Musikerin.
unfold; entfalten; The story will unfold gradually.; Die Geschichte wird sich allmählich entfalten.
unfortunate; unglücklich; It was an unfortunate accident.; Es war ein unglücklicher Unfall.
unify; vereinigen; We need to unify our efforts.; Wir müssen unsere Anstrengungen vereinigen.
unite; vereinigen; They decided to unite the two departments.; Sie entschieden die zwei Abteilungen zu vereinigen.
unity; Einheit; We need to work together in unity.; Wir müssen in Einheit zusammenarbeiten.
universal; universell; The need for love is universal.; Das Bedürfnis nach Liebe ist universell.
unprecedented; beispiellos; This is an unprecedented event.; Das ist ein beispielloses Ereignis.
unveil; enthüllen; They will unveil the new sculpture.; Sie werden die neue Skulptur enthüllen.
upcoming; bevorstehend; The upcoming election is important.; Die bevorstehende Wahl ist wichtig.
upgrade; verbessern/aufwerten; We need to upgrade the software.; Wir müssen die Software verbessern.
uphold; aufrechterhalten; We must uphold the law.; Wir müssen das Gesetz aufrechterhalten.
urgent; dringend; We need an urgent response.; Wir brauchen eine dringende Antwort.
usage; Nutzung; The usage of this product is easy.; Die Nutzung dieses Produktes ist einfach.
useless; nutzlos; This tool is useless.; Dieses Werkzeug ist nutzlos.
utility; Nutzen; This app has a lot of utility.; Diese App hat viel Nutzen.
utilize; nutzen; We need to utilize all available resources.; Wir müssen alle verfügbaren Ressourcen nutzen.
utterly; völlig; She was utterly exhausted.; Sie war völlig erschöpft.
vacuum; Vakuum; There is a vacuum in the space.; Da ist ein Vakuum im Weltraum.
vague; vage; His answer was very vague.; Seine Antwort war sehr vage.
valid; gültig; This ticket is still valid.; Dieses Ticket ist noch gültig.
validity; Gültigkeit; The validity of the data needs to be checked.; Die Gültigkeit der Daten muss überprüft werden.
vanish; verschwinden; The ship vanished from the radar.; Das Schiff verschwand vom Radar.
variable; variabel; The price is variable depending on demand.; Der Preis ist variabel abhängig von der Nachfrage.
variation; Variation; There is a lot of variation in her work.; Da ist viel Variation in ihrer Arbeit.
