word;translation;example_sentence;transition_sentence
commit; begehen; they commit a crime; sie begehen ein Verbrechen
commitment; Engagement; that's a strong commitment; das ist ein starkes Engagement
committee; Ausschuss; it's a committee meeting; es ist eine Ausschusssitzung
common; üblich; it's a common thing; es ist eine übliche Sache
commonly; üblicherweise; this is commonly used; das wird üblicherweise verwendet
communicate; kommunizieren; they communicate by email; sie kommunizieren per Email
communication; Kommunikation; that's an important communication; das ist eine wichtige Kommunikation
community; Gemeinschaft; they live in the community; sie leben in der Gemeinschaft
company; Firma; it's a big company; es ist eine große Firma
compare; vergleichen; they compare these two; sie vergleichen diese zwei
comparison; Vergleich; it's a detailed comparison; es ist ein detaillierter Vergleich
compete; konkurrieren; they compete in a race; sie konkurrieren in einem Rennen
competition; Wettbewerb; it's a tough competition; es ist ein harter Wettbewerb
competitive; wettbewerbsfähig; they are competitive; sie sind wettbewerbsfähig
competitor; Konkurrent; he is the main competitor; er ist der Hauptkonkurrent
complain; beschweren; they complain about the service; sie beschweren sich über den Service
complaint; Beschwerde; that's a big complaint; das ist eine große Beschwerde
complete; vervollständigen; they complete the project; sie vervollständigen das Projekt
completely; vollständig; it's completely done; es ist vollständig fertig
complex; komplex; it's a complex problem; es ist ein komplexes Problem
complicated; kompliziert; it's a complicated story; es ist eine komplizierte Geschichte
component; Komponente; it's a small component; es ist eine kleine Komponente
computer; Computer; I use a computer; ich benutze einen Computer
concentrate; konzentrieren; they concentrate on the task; sie konzentrieren sich auf die Aufgabe
concentration; Konzentration; it's a good concentration; es ist eine gute Konzentration
concept; Konzept; that's an interesting concept; das ist ein interessantes Konzept
concern; Sorge; I have a concern; ich habe eine Sorge
concerned; besorgt; I am concerned about it; ich bin besorgt darüber
concert; Konzert; we go to a concert; wir gehen zu einem Konzert
conclude; schließen; they conclude the meeting; sie schließen das Meeting
conclusion; Schlussfolgerung; that's the conclusion; das ist die Schlussfolgerung
condition; Bedingung; this is the condition; das ist die Bedingung
conduct; durchführen; they conduct a survey; sie führen eine Umfrage durch
conference; Konferenz; it's a business conference; es ist eine Geschäftskonferenz
confidence; Vertrauen; I have confidence in you; ich habe Vertrauen in dich
confident; selbstbewusst; he is confident; er ist selbstbewusst
confirm; bestätigen; please confirm that; bitte bestätige das
conflict; Konflikt; it's a conflict; es ist ein Konflikt
confuse; verwirren; they confuse me; sie verwirren mich
confused; verwirrt; I am confused; ich bin verwirrt
confusing; verwirrend; it's a confusing situation; es ist eine verwirrende Situation
connect; verbinden; they connect the wires; sie verbinden die Drähte
connected; verbunden; it's connected to the internet; es ist mit dem Internet verbunden
connection; Verbindung; it's a good connection; es ist eine gute Verbindung
conscious; bewusst; he is conscious; er ist bewusst
consequence; Konsequenz; that's a serious consequence; das ist eine ernste Konsequenz
conservative; konservativ; he is conservative; er ist konservativ
consider; erwägen; they consider the option; sie erwägen die Option
consideration; Überlegung; it's under consideration; es ist in Überlegung
consist; bestehen; it consists of several parts; es besteht aus mehreren Teilen
consistent; konsistent; it's a consistent result; es ist ein konsistentes Ergebnis
constant; konstant; it's a constant temperature; es ist eine konstante Temperatur
constantly; ständig; they argue constantly; sie streiten ständig
construct; bauen; they construct a bridge; sie bauen eine Brücke
construction; Bau; it's under construction; es ist im Bau
consume; konsumieren; they consume a lot of food; sie konsumieren viel Essen
consumer; Verbraucher; he is a consumer; er ist ein Verbraucher
contact; Kontakt; I need your contact; ich brauche deinen Kontakt
contain; enthalten; the bottle contains water; die Flasche enthält Wasser
container; Behälter; it's a container; es ist ein Behälter
contemporary; zeitgenössisch; it's contemporary art; es ist zeitgenössische Kunst
content; Inhalt; what is the content?; was ist der Inhalt?
contest; Wettbewerb; it's a contest; es ist ein Wettbewerb
context; Kontext; what is the context?; was ist der Kontext?
continent; Kontinent; it's on the european continent; es ist auf dem europäischen Kontinent
continue; fortsetzen; they continue the work; sie setzen die Arbeit fort
continuous; kontinuierlich; it's a continuous process; es ist ein kontinuierlicher Prozess
contract; Vertrag; it's a legal contract; es ist ein legaler Vertrag
contrast; Kontrast; it's a big contrast; es ist ein großer Kontrast
contribute; beitragen; they contribute to the project; sie tragen zum Projekt bei
contribution; Beitrag; it's a valuable contribution; es ist ein wertvoller Beitrag
control; Kontrolle; they have control; sie haben Kontrolle
convenient; bequem; it's a convenient place; es ist ein bequemer Ort
conversation; Gespräch; it's a long conversation; es ist ein langes Gespräch
convert; umwandeln; they convert it to another form; sie wandeln es in eine andere Form um
convince; überzeugen; they convince me; sie überzeugen mich
convinced; überzeugt; I am convinced; ich bin überzeugt
cook; kochen; I like to cook; ich koche gerne
cooker; Herd; it's a kitchen cooker; es ist ein Küchenherd
cooking; Kochen; the cooking is good; das Kochen ist gut
cool; kühl; it's cool; es ist kühl
copy; kopieren; they copy the document; sie kopieren das Dokument
core; Kern; this is the core; das ist der Kern
corner; Ecke; it's in the corner; es ist in der Ecke
corporate; Unternehmens; it's a corporate event; es ist eine Unternehmensveranstaltung
correct; richtig; that's correct; das ist richtig
correctly; richtig; I do it correctly; ich mache es richtig
cost; Kosten; what is the cost?; was sind die Kosten?
costume; Kostüm; they wear a costume; sie tragen ein Kostüm
cottage; Häuschen; it's a small cottage; es ist ein kleines Häuschen
cotton; Baumwolle; the shirt is cotton; das Hemd ist Baumwolle
could; könnte; I could do this; ich könnte das tun
council; Rat; it's a city council; es ist ein Stadtrat
count; zählen; they count the numbers; sie zählen die Zahlen
country; Land; it's a big country; es ist ein großes Land
countryside; Landschaft; I like the countryside; ich mag die Landschaft
county; Bezirk; it's a county; es ist ein Bezirk
couple; Paar; it's a couple; es ist ein Paar
courage; Mut; he shows courage; er zeigt Mut
course; Kurs; I take a course; ich nehme einen Kurs
court; Gericht; it's a court case; es ist ein Gerichtsfall
cousin; Cousin/Cousine; he is my cousin; er ist mein Cousin
cover; bedecken; they cover the table; sie bedecken den Tisch
covered; bedeckt; it's covered in snow; es ist mit Schnee bedeckt
cow; Kuh; it's a cow; es ist eine Kuh
crash; Unfall; it was a car crash; es war ein Autounfall
crazy; verrückt; he is crazy; er ist verrückt
cream; Sahne; I like cream; ich mag Sahne
create; erschaffen; they create a new design; sie erschaffen ein neues Design
creation; Schöpfung; it's a beautiful creation; es ist eine schöne Schöpfung
creative; kreativ; she is creative; sie ist kreativ
creature; Kreatur; it's a strange creature; es ist eine seltsame Kreatur
credit; Kredit; they give credit; sie geben Kredit
crew; Besatzung; they are a crew; sie sind eine Besatzung
crime; Verbrechen; it's a serious crime; es ist ein schweres Verbrechen
criminal; kriminell; he is a criminal; er ist kriminell
crisis; Krise; it's a serious crisis; es ist eine ernste Krise
criterion; Kriterium; it's an important criterion; es ist ein wichtiges Kriterium
critic; Kritiker; he is a critic; er ist ein Kritiker
critical; kritisch; the situation is critical; die Situation ist kritisch
criticism; Kritik; that's a harsh criticism; das ist eine harsche Kritik
criticize; kritisieren; they criticize the work; sie kritisieren die Arbeit
crop; Ernte; it's a good crop; es ist eine gute Ernte
cross; kreuzen; they cross the road; sie kreuzen die Straße
crowd; Menge; there is a big crowd; da ist eine große Menge
crowded; überfüllt; the place is crowded; der Platz ist überfüllt
crucial; entscheidend; it's a crucial decision; es ist eine entscheidende Entscheidung
cruel; grausam; he is cruel; er ist grausam
cry; weinen; I see him cry; ich sehe ihn weinen
cultural; kulturell; it's a cultural event; es ist ein kulturelles Ereignis
culture; Kultur; it's a rich culture; es ist eine reiche Kultur
cup; Tasse; I need a cup; ich brauche eine Tasse
cupboard; Schrank; it's in the cupboard; es ist im Schrank
cure; heilen; they cure the disease; sie heilen die Krankheit
curly; lockig; she has curly hair; sie hat lockige Haare
currency; Währung; what is the currency?; was ist die Währung?
current; aktuell; it's the current news; es sind die aktuellen Nachrichten
currently; aktuell; I am currently working; ich arbeite aktuell
curtain; Vorhang; they close the curtain; sie schließen den Vorhang
curve; Kurve; it's a curve; es ist eine Kurve
curved; gebogen; the road is curved; die Straße ist gebogen
custom; Brauch; it's a local custom; es ist ein lokaler Brauch
customer; Kunde; he is a customer; er ist ein Kunde
cut; schneiden; I cut the paper; ich schneide das Papier
cycle; Zyklus; it's a natural cycle; es ist ein natürlicher Zyklus
dad; Papa; he is my dad; er ist mein Papa
daily; täglich; I do it daily; ich mache es täglich
damage; Schaden; they damage the car; sie beschädigen das Auto
dance; tanzen; I like to dance; ich tanze gerne
dancer; Tänzer; she is a good dancer; sie ist eine gute Tänzerin
dancing; Tanzen; I like dancing; ich mag Tanzen
danger; Gefahr; it's a danger; es ist eine Gefahr
dangerous; gefährlich; it's a dangerous thing; es ist eine gefährliche Sache
dark; dunkel; it's dark; es ist dunkel
data; Daten; they analyze data; sie analysieren Daten
date; Datum; what is the date?; was ist das Datum?
daughter; Tochter; she is my daughter; sie ist meine Tochter
day; Tag; it's a sunny day; es ist ein sonniger Tag
dead; tot; he is dead; er ist tot
deal; Angebot; it's a good deal; es ist ein gutes Angebot
dear; lieb; he is a dear friend; er ist ein lieber Freund
death; Tod; that's the death of a character; das ist der Tod eines Charakters
debate; Debatte; it's a political debate; es ist eine politische Debatte
debt; Schulden; they have debts; sie haben Schulden
decade; Jahrzehnt; it's a decade; es ist ein Jahrzehnt
december; Dezember; it's december; es ist Dezember
decent; anständig; he is a decent person; er ist eine anständige Person
decide; entscheiden; they decide the plan; sie entscheiden den Plan
decision; Entscheidung; that's an important decision; das ist eine wichtige Entscheidung
declare; erklären; they declare the winner; sie erklären den Gewinner
decline; ablehnen; they decline the offer; sie lehnen das Angebot ab
decorate; dekorieren; they decorate the house; sie dekorieren das Haus
decoration; Dekoration; it's a nice decoration; es ist eine schöne Dekoration
decrease; verringern; the amount decrease; die Menge verringert sich
deep; tief; the water is deep; das Wasser ist tief
deeply; tief; they are deeply touched; sie sind tief berührt
defeat; besiegen; they defeat the team; sie besiegen die Mannschaft
defence; Verteidigung; it's a good defence; es ist eine gute Verteidigung
defend; verteidigen; they defend the country; sie verteidigen das Land
define; definieren; they define the terms; sie definieren die Begriffe
definite; bestimmt; it's a definite answer; es ist eine bestimmte Antwort
definitely; definitiv; definitely, it's true; definitiv ist es wahr
definition; Definition; that's the definition; das ist die Definition
degree; Grad; it's a high degree; es ist ein hoher Grad
delay; Verzögerung; there is a delay; da ist eine Verzögerung
deliberate; absichtlich; it's a deliberate action; es ist eine absichtliche Handlung
deliberately; absichtlich; he did it deliberately; er tat es absichtlich
delicious; köstlich; it's delicious; es ist köstlich
delight; Freude; it's a delight; es ist eine Freude
delighted; erfreut; I am delighted; ich bin erfreut
deliver; liefern; they deliver the package; sie liefern das Paket
delivery; Lieferung; it's a fast delivery; es ist eine schnelle Lieferung
